date,day,weather,condition,climate,random1,random2,random3
2017-12-13, 日, 雲, tired, 23.897, ハンバーガー, バスケ, 腹筋
2017-12-14, 月, 雷雨, awesome, 8.890, とん丼, バレーボール, 腹筋
2017-12-15, 火, 雷雨, good, 25.733, とん丼, ラクロス, デッドリフト
2017-12-16, 水, 晴, exhausted, 7.815, ししゃも, バレーボール, デッドリフト
2017-12-17, 木, 晴, soso, -8.776, ハンバーガー, スキー, アームカール
2017-12-18, 金, 雲, awesome, 19.034, トンカツ, バレーボール, プルダウン
2017-12-19, 土, 雷雨, awesome, 12.114, 天丼, バレーボール, ラットプルダウン
2017-12-20, 日, 雲, awesome, 28.090, ハンバーガー, ラクロス, プルダウン
2017-12-21, 月, 晴, bad, 15.174, ししゃも, バスケ, 腹筋
2017-12-22, 火, 雨, exhausted, 28.930, トンカツ, ラクロス, デッドリフト
2017-12-23, 水, 雲, soso, 1.366, とん丼, ラクロス, デッドリフト
2017-12-24, 木, 晴, awesome, -0.290, とん丼, ラクロス, ラットプルダウン
2017-12-25, 金, 雲, soso, 11.952, ししゃも, 野球, 腹筋
2017-12-26, 土, 雷雨, exhausted, 10.337, 牛丼, ラクロス, ダンベルカール
2017-12-27, 日, 雷雨, exhausted, -8.817, ハンバーガー, バスケ, ラットプルダウン
2017-12-28, 月, 雷雨, exhausted, -3.186, トンカツ, バレーボール, 腹筋
2017-12-29, 火, 雲, tired, 26.803, トンカツ, バレーボール, アームカール
2017-12-30, 水, 雨, tired, 4.131, 天丼, スキー, アームカール
2017-12-31, 木, 雲, tired, 21.096, 牛丼, ラクロス, 腹筋
2018-01-01, 金, 雷雨, soso, 12.800, 牛丼, ラクロス, アームカール
2018-01-02, 土, 雨, awesome, 3.843, トンカツ, 野球, アームカール
2018-01-03, 日, 晴, bad, 15.415, トンカツ, サッカー, プルダウン
2018-01-04, 月, 晴, tired, 21.884, 天丼, スキー, プルダウン
2018-01-05, 火, 晴, good, 24.723, とん丼, スキー, プルダウン
2018-01-06, 水, 雨, bad, 0.746, トンカツ, サッカー, ダンベルカール
2018-01-07, 木, 雨, good, -3.301, 天丼, サッカー, ラットプルダウン
2018-01-08, 金, 雨, exhausted, 18.464, とん丼, 野球, アームカール
2018-01-09, 土, 雷雨, good, -9.055, とん丼, 野球, アームカール
2018-01-10, 日, 雲, soso, -5.650, ししゃも, バレーボール, デッドリフト
2018-01-11, 月, 雷雨, good, -0.985, とん丼, サッカー, 腹筋
2018-01-12, 火, 雲, awesome, 18.184, ししゃも, ラクロス, デッドリフト
2018-01-13, 水, 雲, exhausted, 21.912, トンカツ, ラグビー, 背筋
2018-01-14, 木, 晴, awesome, 16.996, 天丼, ラクロス, 腹筋
2018-01-15, 金, 雨, bad, 28.716, ハンバーガー, バスケ, 腹筋
2018-01-16, 土, 晴, soso, 26.687, 天丼, サッカー, アームカール
2018-01-17, 日, 雨, bad, -9.661, ハンバーガー, バレーボール, デッドリフト
2018-01-18, 月, 雷雨, bad, 23.117, ししゃも, スキー, アームカール
2018-01-19, 火, 雲, soso, -6.039, トンカツ, ラクロス, デッドリフト
2018-01-20, 水, 雲, awesome, -5.823, ししゃも, ラクロス, ダンベルカール
2018-01-21, 木, 雷雨, good, 3.014, とん丼, バスケ, 腹筋
